Time,Temp.,Windchill,Dew Point,Pressure,Wind,Wind Speed,Wind Gust,Humidity,Rainfall Rate (Hourly)
12:54,  4.4 °C,  1.4 °C,  1.1°C,  995.1hPa,WNW,  12.9km/h,  22.5km/h,79%,  0.0mm/  0.8mm total
13:09,  4.6 °C,  1.6 °C,  1.1°C,  994.8hPa,West,  12.9km/h,  32.2km/h,78%,  0.0mm/  0.8mm total
13:24,  4.8 °C,  1.1 °C,  1.1°C,  994.8hPa,WSW,  17.7km/h,  24.1km/h,77%,  0.0mm/  0.8mm total
13:39,  4.8 °C,  2.9 °C,  1.1°C,  995.1hPa,WSW,  8.0km/h,  30.6km/h,77%,  0.0mm/  0.8mm total
13:54,  4.9 °C,  -,  1.1°C,  995.1hPa,NW,  3.2km/h,  27.4km/h,77%,  0.0mm/  0.8mm total
14:09,  4.8 °C,  3.4 °C,  1.1°C,  995.5hPa,WSW,  6.4km/h,  19.3km/h,78%,  0.0mm/  0.8mm total
14:24,  4.8 °C,  2.9 °C,  1.1°C,  995.5hPa,NW,  8.0km/h,  24.1km/h,77%,  0.0mm/  0.8mm total
14:39,  4.9 °C,  -,  1.1°C,  996.2hPa,NW,  1.6km/h,  27.4km/h,77%,  0.0mm/  0.8mm total
14:54,  4.6 °C,  3.1 °C,  1.7°C,  996.2hPa,WSW,  6.4km/h,  25.7km/h,81%,  0.5mm/  1.3mm total
15:09,  4.4 °C,  -,  1.1°C,  996.2hPa,NW,  4.8km/h,  29.0km/h,80%,  0.5mm/  1.3mm total
15:24,  4.4 °C,  1.7 °C,  1.1°C,  996.5hPa,North,  11.3km/h,  24.1km/h,80%,  0.5mm/  1.3mm total
15:39,  4.2 °C,  2.2 °C,  1.1°C,  996.8hPa,West,  8.0km/h,  30.6km/h,80%,  0.5mm/  1.3mm total
15:55,  4.0 °C,  0.6 °C,  1.1°C,  997.2hPa,NW,  14.5km/h,  22.5km/h,80%,  0.0mm/  1.3mm total
